gene_name	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ARF5	ENSG00000004059.11	4538.03156789678	-0.0456421504808385	0.492969836370943	-0.0925860917106789	0.926232393489799	0.97606119224928
SARM1	ENSG00000004139.14	1149.69728563919	1.06008394368147	0.629196707661323	1.68482118671873	0.0920230759728911	0.345623399846544
POLDIP2	ENSG00000004142.12	7004.43267640526	-0.565189709977471	0.426744818769655	-1.32442078993944	0.185363333739004	0.501571373646716
PLXND1	ENSG00000004399.13	6489.37240565711	0.136790425720386	0.517355764670836	0.264403018312588	0.791469385984696	0.924970309193879
AK2	ENSG00000004455.18	7742.97997582946	-0.98940695167019	0.416199462335801	-2.37724226292227	0.0174426279312383	0.127339711696577
CD38	ENSG00000004468.13	26.1863040311199	-1.31895690009152	1.05949859241005	-1.24488782669477	0.21317298620868	0.537347618268133
FKBP4	ENSG00000004478.8	9997.20614511092	-1.12940625506902	0.404632880653256	-2.79118754077934	0.00525150344110947	0.0572387337444228
KDM1A	ENSG00000004487.18	5773.86348296123	-0.954004661374416	0.389501016715356	-2.44929954078039	0.0143134358434676	0.113409149629956
RBM6	ENSG00000004534.15	2855.95589672453	-0.152046574670013	0.423982892109707	-0.358614881636948	0.719883212419113	0.895276630115947
CAMKK1	ENSG00000004660.15	827.307414133542	0.257214048886338	0.447967216158598	0.574180519485325	0.565845650326005	0.815214172786731
RECQL	ENSG00000004700.16	1868.02710171667	-0.55127531339633	0.504516204152252	-1.09268108508556	0.274533847404071	0.601031774002023
VPS50	ENSG00000004766.17	922.682816619233	0.390055227618801	0.478664911005166	0.814881598067655	0.41514008752554	0.719545109107044
HSPB6	ENSG00000004776.13	21.7372822865865	-2.25087280567594	0.953896249467739	-2.35966207743442	0.0182915886239664	0.131169678008288
ARHGAP33	ENSG00000004777.19	799.330273741033	-2.10220394809466	0.599493591198969	-3.50663289642566	0.000453814758594611	0.00954436846569729
NDUFAB1	ENSG00000004779.10	2817.0465376425	-0.970646443673276	0.374183714803619	-2.5940371140489	0.00948562466957021	0.0862054991037907
PDK4	ENSG00000004799.8	724.243983445625	3.44728196400576	0.734620529142675	4.69260227185435	2.69751605868599e-06	0.000134612292368155
ZMYND10	ENSG00000004838.14	40.6209520346826	-0.0696525353584418	0.888395358366447	-0.078402633132299	0.937507779043943	0.978645999505325
ARX	ENSG00000004848.8	84.4674272689244	1.78012635837223	1.16281876678429	1.53087171382267	0.125801101312185	0.411199349743382
SLC25A13	ENSG00000004864.14	2766.8232259334	-0.971195768581276	0.381914720610539	-2.54296500283806	0.0109916237753755	0.0954672933904202
ST7	ENSG00000004866.22	954.543125182709	-0.0599448603292701	0.441653960915183	-0.135728116657335	0.892036219522606	0.96512134061826
CDC27	ENSG00000004897.12	3189.50447160995	-0.978205764679061	0.428192986498157	-2.28449740076084	0.022342315173042	0.147973054295152
HCCS	ENSG00000004961.15	1245.75941670536	-0.875696159367797	0.383488054478218	-2.28350309518581	0.0224007507461904	0.148157878529829
DVL2	ENSG00000004975.12	3749.49555433941	0.534400436027788	0.364131499572822	1.46760287603439	0.142212126331649	0.439869629756208
UPF1	ENSG00000005007.14	4887.78865482912	-0.47590514161221	0.379548168256413	-1.2538728451739	0.209888226506495	0.532913743939362
SKAP2	ENSG00000005020.13	1057.67559805785	0.869972401976064	0.5291736100805	1.64402076256924	0.100171913711794	0.362854485719977
SLC25A5	ENSG00000005022.6	20834.6843550265	-0.366165240993451	0.487073677129457	-0.751765612035178	0.452192025317277	0.744777837727726
MCUB	ENSG00000005059.16	374.858747664303	-1.51525539912359	0.496265026528966	-3.05331892864134	0.00226325261538986	0.0319521889235985
POLR2J	ENSG00000005075.16	3100.53322460444	-0.623722013308262	0.495119812527487	-1.25973955702618	0.207763330463198	0.529625971234617
DHX33	ENSG00000005100.13	1904.46712148888	-1.07751435179384	0.50418966511911	-2.137121060463	0.0325881464113736	0.185785931905311
THSD7A	ENSG00000005108.17	311.744549585182	0.85491653378036	0.701511803551659	1.21867733294299	0.222966684496193	0.548919375959429
LIG3	ENSG00000005156.12	2561.54650530523	-0.12149256576484	0.41095321995727	-0.295635999098566	0.767508078540679	0.914936388128609
RPAP3	ENSG00000005175.10	1810.54655093368	-0.615868122401591	0.416646980980934	-1.47815333007243	0.139366742384887	0.436001160866305
ACSM3	ENSG00000005187.12	383.824044786675	0.815402426653364	0.640244125950938	1.27358048844613	0.202812130755788	0.524232900430275
REXO5	ENSG00000005189.20	229.589379873951	-2.61996887408554	0.468386305190814	-5.59360691175248	2.22400169825477e-08	1.63531518812582e-06
CIAPIN1	ENSG00000005194.15	2772.01015863618	-0.927038591557663	0.408917402607132	-2.2670558544272	0.0233868138853336	0.152139688720541
SPPL2B	ENSG00000005206.17	1587.99674373589	-0.267608601440151	0.396516529972316	-0.674898979517538	0.499739948916259	0.776510997227442
ATOSB	ENSG00000005238.20	895.293802856504	1.1994473356197	0.54148345612532	2.21511354049956	0.0267522722690728	0.164966082165767
COPZ2	ENSG00000005243.10	604.245506561643	0.769829727630283	0.753647147250945	1.02147235671012	0.307030699437642	0.631832920331125
PRKAR2B	ENSG00000005249.14	573.406699346913	0.419729536786417	0.712865665597048	0.588791909952459	0.556000873488728	0.810413647406757
MSL3	ENSG00000005302.19	994.486786501551	-0.531388044458495	0.409945191970752	-1.29624168026932	0.194892233928627	0.514028266986755
CREBBP	ENSG00000005339.15	4380.08562011682	0.300709228413311	0.516502181633505	0.582203210569758	0.560429811057676	0.812476735791756
TSPOAP1	ENSG00000005379.17	19.5746459727549	1.2904711214971	1.08392980297497	1.19054861113261	0.233830835760427	0.560267920973208
PON1	ENSG00000005421.9	14.9573583237057	1.58832879205301	1.53597147431888	1.03408742845133	0.301095292828461	0.626934398331724
GCFC2	ENSG00000005436.14	628.731277884006	-0.361789091782081	0.40283547564494	-0.898106332871642	0.369128863118264	0.684876783807626
WDR54	ENSG00000005448.17	1241.67957884572	-0.788278303402515	0.507650845744655	-1.55279619843087	0.120471831210139	0.402512768924478
CROT	ENSG00000005469.12	1263.29486744921	0.289253460441307	0.537074649714399	0.538572171662028	0.59018209363029	0.828651871275028
KMT2E	ENSG00000005483.23	2602.09114150414	0.975790612692738	0.491490513372927	1.98537018750622	0.0471033003228374	0.232525402498968
RHBDD2	ENSG00000005486.17	3180.92438718896	0.533552366656705	0.442023814911375	1.20706701462156	0.227406336746263	0.553948024710561
SOX8	ENSG00000005513.10	165.347325762512	4.3339757419226	0.903878982048521	4.79486283893915	1.62786172823652e-06	8.49463759906649e-05
IBTK	ENSG00000005700.15	2112.22118314498	0.231206288099521	0.401527150397113	0.575817321122261	0.564738664544189	0.814507852767749
ZNF195	ENSG00000005801.18	1222.13753362193	-0.1457632643844	0.409767708013942	-0.355721696789834	0.722048994789615	0.895687151494573
MYCBP2	ENSG00000005810.20	1764.90887900803	-0.160527069048807	0.422788486650476	-0.379686472355423	0.704178163015578	0.888495710137042
FBXL3	ENSG00000005812.11	911.064217173435	0.398670381604245	0.530454369541533	0.751563950635023	0.452313329188386	0.744876723609534
ITGAL	ENSG00000005844.19	21.2565105870821	1.56359854264713	1.00612759265839	1.55407579918942	0.120166337116974	0.401872481465215
PDK2	ENSG00000005882.12	1288.30799963263	0.844139109071353	0.45992165618683	1.83539761112803	0.0664467974250861	0.286382156220198
ITGA3	ENSG00000005884.18	27189.8181160457	0.823565746078841	0.723356090762322	1.13853433543486	0.254897430012411	0.581357700494602
ZFX	ENSG00000005889.16	949.891129262541	-0.240697086459376	0.406567929403051	-0.59202182231339	0.553835975516321	0.809424952840247
LAMP2	ENSG00000005893.17	4826.50783149457	1.10025313864064	0.365908551602224	3.0069074194164	0.00263920127481762	0.0354057879383274
